Date,Open,High,Low,Close,Volume
09/22/2023,"131.11","132.03","128.52","129.12","59,904,352"
09/21/2023,"131.94","132.24","129.31","129.33","70,343,344"
09/20/2023,"138.55","139.37","135.20","135.29","46,263,719"
09/19/2023,"138.70","138.84","135.56","137.63","61,482,473"
09/18/2023,"140.48","141.75","139.22","139.98","42,823,480"
09/15/2023,"142.69","143.57","140.09","140.39","102,909,297"
09/14/2023,"145.08","145.86","142.95","144.72","64,033,609"
09/13/2023,"140.95","144.98","140.87","144.85","60,465,180"
09/12/2023,"142.32","143.00","140.61","141.23","42,668,449"
09/11/2023,"138.75","143.62","138.64","143.10","56,764,527"
09/08/2023,"136.86","138.85","136.75","138.23","38,365,930"
09/07/2023,"133.90","138.03","133.16","137.85","48,498,910"
09/06/2023,"136.32","137.45","134.61","135.36","41,785,512"
09/05/2023,"137.73","137.80","135.82","137.27","40,636,738"
09/01/2023,"139.46","139.96","136.88","138.12","40,991,539"
08/31/2023,"135.06","138.79","135.00","138.01","58,781,312"
08/30/2023,"134.93","135.68","133.92","135.07","36,137,020"
08/29/2023,"133.38","135.14","133.25","134.91","38,646,090"
08/28/2023,"133.78","133.95","131.85","133.14","34,108,406"
08/25/2023,"132.47","133.87","130.58","133.26","44,147,449"
08/24/2023,"136.40","136.78","131.83","131.84","43,646,246"
08/23/2023,"134.50","135.95","133.22","135.52","42,801,039"
08/22/2023,"135.08","135.65","133.73","134.25","32,935,102"
08/21/2023,"133.74","135.19","132.71","134.68","41,442,480"
08/18/2023,"131.62","134.07","131.15","133.22","48,497,699"
08/17/2023,"135.46","136.09","133.53","133.98","48,354,090"
08/16/2023,"137.19","137.27","135.01","135.07","41,675,898"
08/15/2023,"140.05","141.28","137.23","137.67","42,781,520"
08/14/2023,"138.30","140.59","137.75","140.57","47,148,699"
08/11/2023,"137.40","139.33","137.00","138.41","42,905,832"
08/10/2023,"139.08","140.41","137.49","138.56","58,928,398"
08/09/2023,"139.97","140.32","137.10","137.85","50,017,352"
08/08/2023,"140.62","140.84","138.42","139.94","51,710,500"
08/07/2023,"140.99","142.54","138.95","142.22","71,213,109"
08/04/2023,"141.06","143.63","139.32","139.57","153,128,500"
08/03/2023,"127.48","129.84","126.41","128.91","91,163,742"
08/02/2023,"130.15","130.23","126.82","128.21","51,027,609"
08/01/2023,"133.55","133.69","131.62","131.69","42,298,930"
07/31/2023,"133.20","133.87","132.38","133.68","41,901,520"
07/28/2023,"129.69","133.01","129.33","132.21","46,317,379"
07/27/2023,"131.00","132.63","127.79","128.25","52,610,660"
07/26/2023,"126.51","129.08","126.11","128.15","53,910,090"
07/25/2023,"129.31","129.58","128.53","129.13","39,236,660"
07/24/2023,"130.31","131.66","128.35","128.80","45,671,539"
07/21/2023,"131.34","131.37","128.42","130.00","133,307,297"
07/20/2023,"134.07","134.79","129.33","129.96","59,820,578"
07/19/2023,"133.39","135.99","132.53","135.36","54,531,039"
07/18/2023,"132.71","133.86","131.36","132.83","54,969,129"
07/17/2023,"134.56","135.62","133.21","133.56","48,450,199"
07/14/2023,"134.06","136.65","134.06","134.68","54,487,090"
07/13/2023,"134.04","134.67","132.71","134.30","61,170,879"
07/12/2023,"130.31","131.26","128.83","130.80","54,022,848"
07/11/2023,"127.75","129.77","127.35","128.78","49,951,461"
07/10/2023,"129.07","129.28","125.92","127.13","61,889,289"
07/07/2023,"128.59","130.97","128.13","129.78","41,992,246"
07/06/2023,"128.25","128.73","127.37","128.36","40,697,848"
07/05/2023,"130.24","131.40","129.64","130.38","35,895,406"
07/03/2023,"130.82","131.85","130.07","130.22","27,939,570"
06/30/2023,"129.47","131.25","128.95","130.36","54,350,680"
06/29/2023,"128.77","129.26","127.26","127.90","40,760,961"
06/28/2023,"128.94","131.48","128.44","129.04","52,149,512"
06/27/2023,"128.63","130.09","127.55","129.18","46,801,008"
06/26/2023,"129.33","131.49","127.10","127.33","59,989,320"
06/23/2023,"129.11","130.84","128.28","129.33","71,927,773"
06/22/2023,"125.31","130.33","125.14","130.15","90,354,570"
06/21/2023,"125.64","126.73","123.85","124.83","52,137,672"
06/20/2023,"124.97","127.25","124.50","125.78","56,930,121"
06/16/2023,"127.71","127.90","125.30","125.49","84,247,102"
06/15/2023,"125.21","127.69","124.32","127.11","60,458,473"
