Date,Open,High,Low,Close,Volume
05/19/2023,"505,890","511,335","503,905","507,161","6,396"
05/18/2023,"502,450","505,420","498,125","504,360","5,877"
05/17/2023,"498,176","503,000","494,787","500,600","5,997"
05/16/2023,"493,583","499,999","490,756","498,620","6,630"
05/15/2023,"492,844","497,580","489,001","495,900","7,342"
05/12/2023,"494,997","497,781","488,991","491,183","5,145"
05/11/2023,"489,430","493,000","487,000","493,000","5,011"
05/10/2023,"500,010","502,278","488,675","492,000","6,007"
05/09/2023,"495,001","499,000","492,495","499,000","5,150"
05/08/2023,"497,248","502,055","495,500","497,000","7,212"
05/05/2023,"494,407","497,080","490,000","491,840","5,745"
05/04/2023,"490,456","497,864","486,821","489,540","5,122"
05/03/2023,"496,237","498,452","488,606","488,606","5,157"
05/02/2023,"503,408","505,320","492,584","494,100","5,688"
05/01/2023,"502,856","506,000","501,485","503,400","7,428"
04/28/2023,"497,818","503,000","495,916","502,880","5,444"
04/27/2023,"497,200","500,000","492,072","499,700","4,720"
04/26/2023,"496,824","499,999","490,350","491,500","4,809"
04/25/2023,"495,901","499,975","494,619","495,112","4,904"
04/24/2023,"496,363","500,279","494,659","498,250","6,092"
04/21/2023,"495,307","499,079","492,891","496,405","4,826"
04/20/2023,"492,897","497,371","488,221","496,300","4,582"
04/19/2023,"497,800","497,800","491,590","494,948","4,598"
04/18/2023,"492,571","505,949","492,571","496,200","4,982"
04/17/2023,"485,731","503,735","485,731","497,900","6,724"
04/14/2023,"493,920","500,001","489,776","496,000","5,815"
04/13/2023,"483,904","500,000","481,321","490,760","5,510"
04/12/2023,"484,184","486,980","482,018","483,500","5,142"
04/11/2023,"476,618","483,720","474,227","480,800","4,744"
04/10/2023,"474,804","485,000","471,706","476,500","7,207"
04/06/2023,"473,479","478,581","467,601","478,005","5,095"
04/05/2023,"467,140","472,000","464,694","471,500","5,097"
04/04/2023,"472,053","472,053","464,855","467,660","4,345"
04/03/2023,"468,875","471,770","465,570","469,760","6,533"
03/31/2023,"462,416","466,805","461,434","465,600","4,392"
03/30/2023,"468,030","468,030","457,562","461,780","4,249"
03/29/2023,"461,814","463,605","459,979","462,100","4,010"
03/28/2023,"458,031","459,443","456,117","459,000","3,899"
03/27/2023,"456,217","460,931","453,852","457,820","5,538"
03/24/2023,"448,612","455,820","445,886","453,066","4,488"
03/23/2023,"457,527","459,924","449,950","452,750","4,346"
03/22/2023,"461,085","465,552","454,713","455,660","4,188"
03/21/2023,"462,471","463,855","458,600","460,515","4,486"
03/20/2023,"446,749","456,840","444,894","455,917","6,047"
03/17/2023,"453,739","455,608","442,364","442,765","5,263"
03/16/2023,"447,520","458,758","445,695","455,350","5,114"
03/15/2023,"455,001","456,730","446,275","448,671","5,182"
03/14/2023,"464,928","465,670","457,000","461,805","4,085"
03/13/2023,"457,112","464,055","455,250","458,050","6,042"
03/10/2023,"460,775","464,750","457,232","460,462","4,537"
03/09/2023,"471,004","474,834","460,924","461,030","4,167"
03/08/2023,"471,518","474,129","468,800","472,002","4,025"
03/07/2023,"479,733","481,824","470,255","471,500","4,412"
03/06/2023,"476,182","480,945","472,486","480,215","6,258"
03/03/2023,"469,298","473,428","467,448","473,256","4,528"
03/02/2023,"461,965","467,007","457,179","466,790","3,994"
03/01/2023,"460,829","463,618","458,442","462,435","4,214"
02/28/2023,"462,524","464,530","459,970","463,525","4,046"
02/27/2023,"462,910","463,950","458,090","461,912","6,501"
02/24/2023,"456,300","464,013","454,955","461,705","4,640"
